p_train,p_test,run_id,seed,epochs,mlp_depth,mlp_width,test_loss,test_accuracy
0.0,0.75,6,1240,20,3,128,13.62648729248047,0.1448
0.0,0.7625000000000001,6,1240,20,3,128,13.979878100585937,0.1381
0.0,0.775,6,1240,20,3,128,14.531065197753906,0.1321
0.0,0.7875000000000001,6,1240,20,3,128,14.948580380249023,0.133
0.0,0.8,6,1240,20,3,128,15.46397594909668,0.1256
0.0,0.8125,6,1240,20,3,128,15.991435488891602,0.122
0.0,0.8250000000000001,6,1240,20,3,128,16.38259422454834,0.1224
0.0,0.8375,6,1240,20,3,128,17.12702410888672,0.1163
0.0,0.8500000000000001,6,1240,20,3,128,17.556962300109863,0.1119
0.0,0.8625,6,1240,20,3,128,18.00563491821289,0.1074
0.0,0.875,6,1240,20,3,128,18.54603713531494,0.1069
0.0,0.8875000000000001,6,1240,20,3,128,19.055371936035158,0.107
0.0,0.9,6,1240,20,3,128,19.577392684936523,0.1017
0.0,0.9125000000000001,6,1240,20,3,128,20.096340698242187,0.0982
0.0,0.925,6,1240,20,3,128,20.588164163208006,0.0993
0.0,0.9375,6,1240,20,3,128,21.22420683288574,0.0962
0.0,0.9500000000000001,6,1240,20,3,128,21.660204556274415,0.097
0.0,0.9625,6,1240,20,3,128,22.07175320739746,0.093
0.0,0.9750000000000001,6,1240,20,3,128,22.774387005615235,0.0951
0.0,0.9875,6,1240,20,3,128,23.233839767456054,0.0952
0.0,1.0,6,1240,20,3,128,23.705930026245117,0.0957
0.0,0.0,8,1242,20,3,128,0.11203237260706374,0.9746
0.0,0.0125,8,1242,20,3,128,0.12411421816189541,0.9716
0.0,0.025,8,1242,20,3,128,0.15079026558935876,0.9665
0.0,0.037500000000000006,8,1242,20,3,128,0.17713454306116327,0.9591
0.0,0.05,8,1242,20,3,128,0.20623983454294503,0.9521
0.0,0.0625,8,1242,20,3,128,0.2571242149449885,0.9406
0.0,0.07500000000000001,8,1242,20,3,128,0.3226719550808659,0.9287
0.0,0.08750000000000001,8,1242,20,3,128,0.41287127444073557,0.9083
0.0,0.1,8,1242,20,3,128,0.4852785467147827,0.892
0.0,0.1125,8,1242,20,3,128,0.5771154815077781,0.875
0.0,0.125,8,1242,20,3,128,0.6702014404296875,0.8536
0.0,0.1375,8,1242,20,3,128,0.7817846428990364,0.8358
0.0,0.15000000000000002,8,1242,20,3,128,0.9349131374359131,0.8068
0.0,0.1625,8,1242,20,3,128,1.0585317692756653,0.7909
0.0,0.17500000000000002,8,1242,20,3,128,1.2420653530120849,0.7582
0.0,0.1875,8,1242,20,3,128,1.379790222644806,0.743
0.0,0.2,8,1242,20,3,128,1.5963967809677124,0.7095
0.0,0.21250000000000002,8,1242,20,3,128,1.7439928340911866,0.6888
0.0,0.225,8,1242,20,3,128,1.9810114152908325,0.6643
0.0,0.23750000000000002,8,1242,20,3,128,2.1106367782592774,0.6413
0.0,0.25,8,1242,20,3,128,2.4134154850006104,0.6129
0.0,0.2625,8,1242,20,3,128,2.5478771823883055,0.5901
0.0,0.275,8,1242,20,3,128,2.8253528478622436,0.5682
0.0,0.28750000000000003,8,1242,20,3,128,3.0718732986450195,0.5444
0.0,0.30000000000000004,8,1242,20,3,128,3.2606922065734865,0.5236
0.0,0.3125,8,1242,20,3,128,3.4801456401824953,0.5096
0.0,0.325,8,1242,20,3,128,3.804900723648071,0.4787
0.0,0.3375,8,1242,20,3,128,4.088377626419067,0.4594
0.0,0.35000000000000003,8,1242,20,3,128,4.405630559158325,0.442
0.0,0.36250000000000004,8,1242,20,3,128,4.640628209686279,0.4189
0.0,0.375,8,1242,20,3,128,4.910287126159668,0.4052
0.0,0.3875,8,1242,20,3,128,5.205576638031006,0.3858
0.0,0.4,8,1242,20,3,128,5.469359880065918,0.3754
0.0,0.41250000000000003,8,1242,20,3,128,5.8175067031860355,0.3583
0.0,0.42500000000000004,8,1242,20,3,128,6.14134080581665,0.3455
0.0,0.4375,8,1242,20,3,128,6.488588855743409,0.3277
0.0,0.45,8,1242,20,3,128,6.786360229492187,0.3122
0.0,0.4625,8,1242,20,3,128,7.214144905853272,0.297
0.0,0.47500000000000003,8,1242,20,3,128,7.547565711212158,0.2956
0.0,0.48750000000000004,8,1242,20,3,128,7.861126359558106,0.2761
